AS_OF_DATE;FLAG_PAYROLL;CUSTOMER_NAME;SEGMENT;SENTRA_CODE;CIF_KEY;NOREK;BRANCH_CODE;ACCOUNT_TYPE;SUB_CATGEGORY;CURRENCY;PRODUCT_NAME;BAKI_DEBET_ORG;BAKI_DEBET_IDR;AVG_BAKI_DEBET_MTD_ORG;AVG_BAKI_DEBET_MTD_IDR;AVG_BAKI_DEBET_YTD_ORG;AVG_BAKI_DEBET_YTD_IDR;DENDA;TUNGGAKAN_BIAYA;TUNGGAKAN_BUNGA;OUTSTANDING_ORG;OUTSTANDING_IDR;INTEREST_INCOME_MUTASI;ECL_FINAL_IDR_CURRENT;WORST_COLLECTIBILITY;SUKU_BUNGA;FLAG_PRODUK;KURS
12/05/2023;No;Customer 1;SME;285;916631;40089070;49;Loan;Platinum;IDR;Product A;14551.78;743331972.49;49673.07;574444280.75;7624.45;246079210.35;60.87;58.06;3428.24;52310.27;370332492.39;10629.72;7632.86;4;11.35;Active;14145.55
24/09/2024;No;Customer 2;Retail;212;319745;37564983;14;Savings;Gold;EUR;Product B;45588.83;274801947.96;27105.18;326547567.55;31760.65;478679029.81;385.11;108.18;1267.02;83238.68;751946475.48;18120.3;6202.81;5;4.88;Active;14545.92
17/06/2024;No;Customer 3;Retail;265;756000;27952437;35;Loan;Gold;USD;Product B;94721.37;563830350.33;22390.92;350040382.87;15969.97;268868525.39;9.45;175.53;4777.27;41717.78;529858017.17;3181.41;7284.91;4;12.87;Inactive;14746.95
16/06/2023;No;Customer 4;Corporate;792;588269;15980000;20;Current;Silver;IDR;Product A;83044.58;470244496.64;32098.46;599029336.48;9479.48;381416440.82;158.3;787.18;4083.17;43041.06;425409711.04;6639.0;3066.58;4;10.21;Inactive;14057.59
20/09/2023;Yes;Customer 5;SME;236;282228;61976559;45;Savings;Gold;USD;Product A;30640.14;30591196.15;24582.31;351680810.14;33392.49;7825490.98;429.16;823.42;4732.76;40352.24;291407743.18;3018.63;8755.35;3;2.67;Active;14441.22
18/01/2023;Yes;Customer 6;Corporate;749;776127;99844520;11;Loan;Platinum;IDR;Product B;11824.03;88731818.84;42971.24;425901604.57;34143.14;309211034.56;258.0;14.59;3507.05;36901.76;782122226.43;1209.43;4913.23;3;1.57;Active;14241.73
30/05/2024;Yes;Customer 7;SME;437;478643;56045797;28;Savings;Platinum;EUR;Product B;45901.78;30568682.62;2138.55;379657752.36;5022.88;239002987.55;266.45;699.55;1260.08;8550.93;425295830.89;11610.71;5591.61;1;10.82;Inactive;14154.83
24/08/2024;Yes;Customer 8;Retail;525;707132;71506703;32;Savings;Gold;EUR;Product B;74157.35;628015850.03;575.63;242568028.04;24584.83;332262883.78;453.68;377.21;3284.3;76059.63;605391583.21;1580.6;4953.82;1;6.85;Inactive;14857.35
15/07/2024;Yes;Customer 9;Corporate;132;442991;15008912;39;Savings;Gold;IDR;Product B;29516.75;618906181.79;21033.0;464724857.22;23678.8;15732297.69;31.93;805.77;333.33;48524.88;287783720.36;487.72;8213.87;4;1.62;Inactive;14886.01
19/07/2024;No;Customer 10;Retail;812;551085;54465712;24;Loan;Silver;EUR;Product B;94067.78;606011664.45;39900.44;529370773.97;17871.88;410763691.77;486.68;179.59;2857.42;80973.2;702392491.56;13193.65;7980.61;2;2.78;Inactive;14944.29
31/07/2023;Yes;Customer 11;SME;585;742456;66281600;34;Savings;Gold;IDR;Product C;13732.28;259825326.24;17556.72;525953745.96;22170.43;165287399.81;48.37;356.8;2484.17;33686.89;111716767.46;11412.97;4162.88;2;2.02;Inactive;14131.72
18/02/2024;Yes;Customer 12;SME;968;676934;96402439;45;Loan;Silver;IDR;Product B;69256.2;532768892.14;37676.66;594602598.52;11676.86;279557659.34;390.02;229.56;4603.57;83240.87;718759187.71;19584.52;631.63;2;2.99;Active;14846.34
12/02/2023;No;Customer 13;Corporate;340;343641;83197619;38;Loan;Silver;USD;Product B;61172.75;555365855.05;38611.93;129018393.72;31350.03;366198656.5;85.64;582.66;1844.24;73656.92;742775136.32;19479.82;9288.1;1;12.35;Inactive;14136.48
17/04/2023;Yes;Customer 14;SME;353;987704;52606491;27;Savings;Platinum;USD;Product A;59667.3;268934535.57;35341.45;327005065.81;6329.04;303010672.25;479.96;140.12;764.09;84435.67;557717261.94;4628.52;6132.18;2;11.73;Inactive;14556.05
13/01/2024;No;Customer 15;Corporate;475;137020;70086258;21;Savings;Platinum;IDR;Product C;23077.24;107200575.61;22747.59;321168443.98;16680.82;205209720.97;70.77;776.75;3923.86;85330.86;236999414.94;13966.17;8343.56;1;5.65;Active;14426.4
08/08/2024;Yes;Customer 16;Corporate;662;142729;37715167;30;Loan;Platinum;IDR;Product C;88368.67;327002418.42;41252.69;233752548.38;18394.14;94830218.82;327.7;821.28;1943.89;41745.27;551495212.12;6417.22;7487.63;1;6.96;Inactive;14577.15
14/12/2024;No;Customer 17;SME;977;862954;58806726;4;Savings;Silver;USD;Product C;52921.46;140221999.39;41961.01;492677555.77;4948.34;258855879.48;180.25;10.13;3722.3;54215.09;566056060.39;10566.39;3881.39;5;14.09;Active;14925.47
26/04/2023;No;Customer 18;Corporate;337;726084;72583654;15;Loan;Platinum;IDR;Product A;66101.58;339099512.79;28557.75;403019533.23;36845.12;295830653.6;472.06;18.79;4506.71;29261.02;242822336.66;2804.2;7786.67;5;2.94;Active;14037.51
09/05/2023;Yes;Customer 19;SME;397;444901;60701191;24;Savings;Gold;EUR;Product A;61447.13;269076913.95;23203.68;70271635.71;26478.4;174951731.54;14.68;118.03;4808.22;10305.85;454152129.28;19215.08;5326.39;1;11.31;Inactive;14836.1
28/12/2023;No;Customer 20;SME;634;472209;78932631;47;Current;Gold;EUR;Product A;24841.58;533832754.87;42091.3;487749168.24;22639.22;364808491.32;188.53;568.56;1132.25;67438.73;133280170.45;15547.16;9159.0;3;1.81;Active;14836.91
29/05/2024;No;Customer 21;Corporate;814;627776;18852891;15;Loan;Silver;EUR;Product B;40797.66;442711453.34;47062.39;593399880.15;44875.69;447067476.82;68.89;576.11;1670.17;35562.98;143402380.78;9842.41;3549.35;4;10.74;Inactive;14801.96
02/01/2023;Yes;Customer 22;Retail;487;949814;70189328;1;Current;Silver;EUR;Product C;76057.5;663774393.52;42036.94;446045822.24;39903.4;49064699.29;439.24;93.39;2313.99;46984.11;69517709.72;4402.78;5954.06;1;11.63;Active;14281.64
15/04/2023;No;Customer 23;Retail;193;658716;60999630;34;Loan;Platinum;EUR;Product B;41528.4;648940013.92;28569.38;178265420.01;18583.15;242787415.02;360.3;303.61;4102.03;37302.56;642030996.71;10323.83;321.36;5;8.62;Active;14504.15
05/03/2024;No;Customer 24;Corporate;492;444774;87032494;50;Loan;Gold;EUR;Product B;52231.55;419502863.53;9140.21;531386591.5;32246.73;295635541.43;259.86;170.6;3339.07;87028.62;674199228.31;19719.02;5096.51;1;14.47;Inactive;14722.03
25/03/2024;No;Customer 25;Retail;912;656914;14141148;6;Loan;Silver;IDR;Product C;26822.87;524263132.38;505.5;73930245.41;37171.02;390939480.57;69.35;728.65;4828.7;25824.34;339955356.18;10558.09;8618.53;4;8.04;Inactive;14077.88
03/07/2024;Yes;Customer 26;Corporate;978;436231;96305747;50;Current;Silver;USD;Product B;59449.1;358959144.81;45709.57;312245947.67;40211.84;321284085.89;200.75;47.73;192.64;23899.61;172159790.57;12745.55;4851.52;3;13.61;Inactive;14408.33
13/09/2023;Yes;Customer 27;SME;388;788819;34572937;6;Loan;Silver;EUR;Product C;16129.99;30624461.46;35280.85;36689797.02;21504.36;301691252.55;317.73;886.47;4841.64;20759.29;66288074.18;9630.88;6684.49;1;10.4;Inactive;14007.38
04/03/2023;No;Customer 28;Corporate;344;249162;94121428;19;Loan;Platinum;IDR;Product B;38487.97;507444428.3;29122.35;134657047.44;1848.88;265400205.79;203.85;965.68;323.39;28994.2;585467988.55;3836.86;6529.94;5;10.68;Inactive;14111.89
15/04/2024;No;Customer 29;SME;434;814772;39572537;42;Loan;Gold;EUR;Product B;90875.55;153163412.61;15609.48;265123721.39;29408.55;77145176.08;433.54;799.87;2391.41;4964.85;123367376.93;19361.45;2702.62;1;7.32;Inactive;14306.82
25/08/2023;No;Customer 30;SME;174;673125;69079115;6;Loan;Silver;IDR;Product C;89960.14;281742190.86;35486.52;278825019.09;3900.73;338313974.95;465.91;595.0;3963.55;63490.34;68950644.78;14698.24;7859.6;2;9.63;Active;14572.46
13/01/2023;Yes;Customer 31;SME;331;573622;41778978;22;Savings;Platinum;EUR;Product C;73771.3;399817777.18;23776.03;485395884.07;6177.35;353158382.72;101.63;76.85;4695.94;4207.68;44556152.7;14005.03;1713.0;5;8.16;Inactive;14281.16
30/12/2024;Yes;Customer 32;SME;728;588055;99520179;14;Current;Gold;EUR;Product C;21461.38;484717726.08;49130.69;26765113.93;9848.6;439952071.53;144.29;418.01;576.63;61241.75;431360945.19;9473.98;8408.96;3;3.51;Inactive;14230.87
10/12/2024;No;Customer 33;SME;245;576560;88541585;24;Savings;Silver;IDR;Product C;41943.9;93978421.7;36375.51;411484241.6;39849.26;37863481.43;250.54;306.97;983.87;88456.1;755885537.31;13530.42;174.24;3;2.7;Inactive;14055.94
18/06/2024;Yes;Customer 34;SME;534;460829;58640387;6;Savings;Gold;EUR;Product B;90126.92;454225030.89;46353.56;560440440.93;29640.35;473262103.15;243.33;392.4;1760.98;33645.45;472740913.44;12202.65;8304.88;1;13.32;Active;14214.26
20/06/2023;No;Customer 35;Corporate;506;728576;58667065;3;Current;Platinum;IDR;Product A;68282.42;471948131.63;47753.46;397679647.61;11073.08;383150537.27;92.09;630.9;2727.39;10843.2;150132570.84;17506.0;6020.31;3;1.22;Inactive;14365.26
22/11/2024;No;Customer 36;Corporate;895;576805;91128384;3;Loan;Silver;IDR;Product A;57793.99;667340939.95;41500.8;319704918.59;26769.3;334129327.77;122.0;15.99;833.65;11408.54;179873671.16;6064.83;8514.86;1;7.53;Inactive;14321.98
19/11/2024;No;Customer 37;SME;660;674115;88597659;42;Savings;Silver;USD;Product B;85209.36;493426791.84;24065.17;137494913.87;12750.63;394439604.17;82.68;133.75;2324.57;39203.22;541296934.0;14479.82;2690.84;4;13.47;Inactive;14402.71
31/10/2023;No;Customer 38;SME;281;457685;12842069;50;Savings;Platinum;EUR;Product B;49298.53;717940015.63;42971.04;450245525.48;31086.87;473850889.87;276.0;644.43;1580.16;42530.44;786841521.15;1227.04;4770.5;2;3.18;Active;14878.63
18/02/2023;Yes;Customer 39;Corporate;155;650991;21435623;7;Current;Platinum;EUR;Product B;82219.24;598200319.14;4119.75;454224966.94;985.16;108676529.76;31.91;612.97;2732.23;63606.12;608505860.02;9086.63;1006.29;3;1.0;Active;14100.34
19/09/2024;No;Customer 40;Corporate;766;441232;99606708;21;Savings;Silver;EUR;Product C;35220.62;88122165.92;13518.15;228864589.26;3682.61;120593454.29;437.88;125.1;2593.98;60791.31;242777862.77;6300.64;3849.8;5;3.88;Active;14652.57
09/11/2023;No;Customer 41;Corporate;188;483071;29173482;43;Current;Platinum;IDR;Product B;96807.65;418936645.96;44805.75;427228184.47;43688.61;415535541.33;430.95;856.52;1969.58;82780.18;689795335.83;14009.92;6077.1;1;10.9;Active;14898.47
05/01/2024;Yes;Customer 42;Retail;470;920460;90990509;38;Current;Gold;USD;Product B;24735.36;648046369.8;22078.18;56051661.15;17715.99;201229661.88;212.88;545.33;1430.0;56508.03;329998038.69;6428.61;6227.66;4;5.12;Inactive;14921.08
11/01/2023;No;Customer 43;Retail;999;626682;20486880;29;Current;Platinum;USD;Product A;75910.58;153813581.8;22690.19;435223209.07;44914.21;193280715.61;55.97;743.77;2743.94;83187.36;758288917.99;19731.53;9254.99;2;8.14;Active;14573.62
01/04/2023;Yes;Customer 44;SME;893;425128;63762380;28;Current;Gold;EUR;Product C;58388.35;330300624.14;13583.23;236706516.41;27195.37;93163080.92;79.61;716.47;1328.3;27538.29;681255312.02;9969.76;6421.74;2;2.38;Active;14897.09
01/04/2023;No;Customer 45;Retail;632;695976;30848860;2;Savings;Gold;EUR;Product B;56327.85;629658738.21;23986.64;45652040.04;27818.52;347503928.01;464.78;346.41;1245.65;8442.8;572577674.17;3375.4;7631.74;3;9.72;Active;14818.71
25/07/2023;No;Customer 46;Corporate;320;609543;89193045;28;Loan;Silver;EUR;Product B;12992.58;704475835.43;39761.58;579709166.3;30561.1;260616792.13;38.05;672.12;2672.7;61462.78;692812241.32;6555.58;339.77;2;0.66;Active;14282.89
30/12/2023;Yes;Customer 47;Corporate;100;435178;39829770;32;Savings;Gold;USD;Product A;72560.92;676258909.13;20613.35;509489988.33;29977.2;137130019.47;309.55;739.17;3355.19;86498.73;514042064.73;10741.1;7059.66;3;0.71;Inactive;14359.89
24/05/2024;No;Customer 48;Retail;519;485490;19022092;8;Savings;Silver;USD;Product A;66809.85;248669060.73;3449.44;44467742.56;25476.48;151202691.81;248.34;903.52;3191.05;27114.02;654725357.24;699.69;2074.97;1;14.54;Inactive;14619.01
09/03/2023;No;Customer 49;Retail;206;414829;54162438;5;Savings;Silver;USD;Product C;89053.47;523888799.52;35678.23;430372803.44;27778.76;162631323.98;227.06;570.31;2608.86;33922.83;438549556.8;12313.99;7739.04;4;7.62;Inactive;14399.81
03/07/2023;No;Customer 50;Corporate;725;123981;26188106;17;Current;Platinum;IDR;Product B;28660.36;356507746.12;19236.0;372292257.42;28454.13;68440908.73;392.61;992.58;4774.44;81317.34;579076782.96;17433.2;8669.66;1;1.98;Active;14074.87
18/09/2023;No;Customer 51;SME;463;398215;63801919;34;Loan;Silver;USD;Product B;85685.22;628381833.88;18246.87;529891500.62;15707.55;273905651.6;250.28;716.71;2849.14;45654.49;139188157.95;5141.14;6901.01;3;11.09;Inactive;14864.61
04/01/2023;No;Customer 52;SME;800;796071;48405295;24;Savings;Gold;EUR;Product B;21901.11;583963548.98;48254.16;347912226.97;21713.48;22767161.93;161.02;707.53;2782.66;2916.02;646018391.37;19599.51;3281.03;4;12.54;Inactive;14866.15
29/01/2024;No;Customer 53;Corporate;199;956043;67186189;34;Savings;Silver;IDR;Product C;14468.05;677316981.77;47167.12;514882076.02;25160.37;22676351.6;208.44;541.58;4980.5;26476.43;750116470.67;14100.17;5480.72;1;2.42;Active;14495.38
03/08/2023;No;Customer 54;SME;646;950782;52936256;44;Loan;Silver;IDR;Product C;49970.75;200691400.62;40293.79;61358809.17;10948.61;9023595.05;371.21;748.82;4321.31;24771.41;89524080.08;24.92;7678.05;1;12.76;Inactive;14802.62
30/04/2023;Yes;Customer 55;SME;910;797033;90465821;34;Current;Silver;USD;Product C;1426.07;532692551.17;44098.12;541535352.3;42764.58;192788064.32;139.11;905.06;3763.65;68441.41;103830803.2;17374.98;7347.29;4;2.86;Inactive;14078.72
29/11/2023;No;Customer 56;Corporate;145;671252;26002496;23;Savings;Platinum;USD;Product B;64554.67;734704444.45;41393.94;285076688.9;10006.36;252102711.87;103.35;801.21;1108.66;20979.46;224416970.27;12483.83;3279.24;3;14.97;Inactive;14769.78
27/03/2023;No;Customer 57;SME;170;151062;22872112;19;Loan;Silver;EUR;Product B;32307.65;199112174.87;9303.61;478009935.26;34684.66;76004648.93;186.45;716.58;1995.04;38785.2;197005125.77;9324.75;5379.0;3;14.48;Active;14855.26
18/08/2023;No;Customer 58;SME;656;924126;34033477;32;Current;Gold;EUR;Product C;55272.38;307756843.85;18669.08;417200580.83;5657.31;466017232.2;216.13;987.23;1691.1;65189.3;111343157.39;9067.11;5512.87;1;9.87;Active;14865.43
29/11/2024;No;Customer 59;Corporate;482;940444;63469093;43;Loan;Platinum;IDR;Product A;60882.69;94816298.0;40007.82;35856656.34;44417.34;406935691.32;420.01;988.28;2829.02;87959.29;270272128.06;7557.63;1059.48;4;2.23;Active;14562.56
04/12/2023;No;Customer 60;SME;304;833608;86149335;15;Loan;Silver;USD;Product B;76455.48;587660583.16;26929.3;252078948.07;7421.89;138159532.38;198.05;324.93;4541.78;58078.24;701612336.84;634.62;613.54;5;12.08;Active;14316.61
21/07/2023;No;Customer 61;Corporate;871;335686;32877897;21;Loan;Platinum;USD;Product B;21715.97;676036009.83;41564.04;70303846.07;10225.81;373377761.71;388.77;858.54;2743.7;57006.58;788705983.92;12263.98;2157.05;1;6.99;Active;14893.77
29/11/2023;Yes;Customer 62;Corporate;121;453096;12745970;5;Savings;Silver;EUR;Product C;31605.76;32473582.83;32128.33;293785995.41;24429.33;401847055.03;376.76;626.28;4937.62;12655.31;633462950.17;17964.6;4887.98;3;1.36;Active;14440.72
13/03/2023;Yes;Customer 63;SME;121;542328;81440665;39;Current;Platinum;EUR;Product C;15954.36;297903529.6;7733.59;591223289.4;19817.0;429945590.09;403.34;901.46;2017.32;88608.23;699729734.97;6305.37;3540.42;5;4.58;Inactive;14326.87
11/05/2023;No;Customer 64;SME;681;456641;58119847;25;Savings;Platinum;IDR;Product C;68822.39;547259632.04;44281.91;327556227.96;15731.5;80535881.24;229.45;345.93;3022.55;8589.63;213236083.87;16207.32;8057.33;3;7.9;Active;14926.43
13/10/2024;No;Customer 65;Corporate;109;577911;63649725;17;Current;Platinum;USD;Product B;28982.61;720866135.09;7167.64;567824292.34;30734.27;144179015.33;146.89;859.94;4091.09;55130.68;21929685.35;19689.55;2463.13;1;13.32;Inactive;14015.92
20/05/2024;Yes;Customer 66;SME;912;948150;28767544;45;Loan;Platinum;EUR;Product C;88158.79;330028983.11;39248.72;236218307.26;39026.7;5750761.86;201.01;371.89;2052.26;61533.28;773150374.2;9521.77;2147.13;1;13.63;Active;14801.33
04/01/2023;No;Customer 67;Retail;366;180305;85124146;38;Loan;Gold;IDR;Product C;87178.33;627972443.65;8963.51;199756699.56;24384.92;369108638.45;77.07;888.7;4728.82;8171.75;787856335.04;6905.12;624.75;5;2.07;Inactive;14973.34
